"run","ncomp","DIC1","DIC2","DIC3","DIC7"
1,3,7199.3139608707,7196.7081299607,7199.34858475359,9435.53625861272
2,2,7871.41591352008,7870.91413541859,7870.86628506496,9801.09026002816
3,3,6299.66616080913,6449.35341343717,6301.47459691298,9696.77700075564
4,2,6301.87769600171,6301.77085321083,6301.61830079737,8463.05343371265
